,company,name,year,kms_driven,Price,fuel_type
124,Honda,Scoopy,2023,5000,19900000,bensin
125,Yamaha,Soul GT,2016,25000,10500000,bensin
126,Honda,PCX,2020,5000,26500000,bensin
127,Yamaha,Soul GT,2016,20000,10500000,bensin
128,Honda,Supra,2019,20000,12500000,bensin
129,Honda,Forza,2019,10000,74000000,bensin
130,Honda,CB,2015,20000,14500000,bensin
131,Yamaha,Soul GT,2016,20000,10500000,bensin
132,Yamaha,NMAX,2021,10000,29000000,bensin
133,Honda,Beat,2021,20000,14800000,bensin
134,Yamaha,Fino,2017,25000,12300000,bensin
135,Honda,Vario,2014,30000,11000000,bensin
136,Yamaha,Aerox,2022,5000,27500000,bensin
137,Honda,Scoopy,2022,10000,18500000,bensin
138,Honda,Scoopy,2021,20000,17250000,bensin
139,Yamaha,Mio,2017,25000,10000000,bensin
140,Honda,PCX,2021,20000,28000000,bensin
141,Honda,Beat,2012,5000,7500000,bensin
142,Honda,Scoopy,2022,15000,18600000,bensin
143,Honda,Scoopy,2022,10000,18750000,bensin
144,Yamaha,Freego,2021,20000,15200000,bensin
145,Honda,Scoopy,2019,35000,11800000,bensin
146,Yamaha,Mio,2016,25000,9750000,bensin
147,Honda,Vario,2018,20000,17700000,bensin
148,Honda,Vario,2022,10000,25500000,bensin
149,Honda,Vario,2022,10000,22900000,bensin
150,Honda,Beat,2020,15000,15500000,bensin
151,Honda,Vario,2022,10000,21500000,bensin
152,Yamaha,Mio,2018,20000,10600000,bensin
153,Honda,Vario,2010,5000,4200000,bensin
154,Honda,Vario,2010,5000,4200000,bensin
155,Yamaha,Vixion,2016,5000,8950000,bensin
156,Honda,Vario,2018,20000,17750000,bensin
157,Yamaha,NMAX,2022,15000,26000000,bensin
158,Yamaha,YZF R15,2022,5000,36000000,bensin
159,Yamaha,YZF R15,2022,5000,36000000,bensin
160,Harley Davidson,Touring,2020,5000,650000000,bensin
161,Honda,Supra,1991,300000,4800000,bensin
162,Yamaha,Mio,2016,25000,9750000,bensin
163,Yamaha,Mio,2016,20000,9750000,bensin
164,Yamaha,Vixion,2017,5000,12000000,bensin
165,Honda,Beat,2011,5000,7800000,bensin
166,Honda,Beat,2018,5000,12500000,bensin
167,Honda,Beat,2022,5000,16500000,bensin
168,Honda,Beat,2019,20000,13000000,bensin
169,Honda,Beat,2022,5000,16500000,bensin
170,Benelli,BN,2021,5000,200000000,bensin
171,Yamaha,Aerox,2021,45000,25000000,bensin
172,Kawasaki,Ninja KRR,2013,75000,17500000,bensin
173,Honda,Sonic,2020,25000,13000000,bensin
174,Yamaha,Vega R,2004,5000,4000000,bensin
175,Kawasaki,Ninja 250,2023,40000,29000000,bensin
176,Yamaha,Mio,2008,15000,4200000,bensin
177,Honda,CBR,2014,45000,15800000,bensin
178,Honda,Scoopy,2022,15000,19800000,bensin
179,Honda,Vario,2016,15000,19000000,bensin
180,Kawasaki,ZX,2021,20000,99500000,bensin
181,Honda,Vario,2021,45000,18500000,bensin
182,Honda,PCX,2018,30000,21850000,bensin
183,Yamaha,Freego,2023,10000,26000000,bensin
184,Yamaha,Vega R,2008,90000,4600000,bensin
185,Yamaha,MT 25,2019,5000,45500000,bensin
186,Yamaha,MT 25,2019,5000,45500000,bensin
187,Yamaha,Vixion,2016,5000,8950000,bensin
188,Honda,PCX,2022,10000,28800000,bensin
189,Yamaha,Jupiter,2023,5000,25500000,bensin
190,Honda,CBR,2019,5000,25500000,bensin
191,Kawasaki,Ninja 250,2015,5000,37500000,bensin
192,Honda,CBR,2022,5000,61000000,bensin
193,Kawasaki,W800,2020,10000,26000000,bensin
194,Kawasaki,W800,2020,5000,26000000,bensin
195,Yamaha,Freego,2021,20000,15200000,bensin
196,Suzuki,Satria,2016,15000,15000000,bensin
197,Yamaha,Soul GT,2016,20000,10500000,bensin
198,Honda,CBR,2017,5000,21500000,bensin
199,Suzuki,GSX,2018,5000,19800000,bensin
200,Honda,Vario,2014,95000,9100000,bensin
201,Kawasaki,Ninja 250,2015,5000,21500000,bensin
202,Kawasaki,Ninja 250,2019,15000,48000000,bensin
203,Honda,Beat,2020,5000,14600000,bensin
204,Kawasaki,Ninja 250,2019,20000,48000000,bensin
205,Honda,Sonic,2018,5000,16500000,bensin
206,Honda,Vario,2015,20000,15500000,bensin
207,Piaggio,Sprint,2022,5000,52900000,bensin
208,Yamaha,YZF R15,2022,5000,36000000,bensin
209,Kawasaki,Ninja 250,2020,5000,28500000,bensin
210,Kawasaki,Ninja 250,2018,10000,43000000,bensin
211,Honda,Vario,2023,5000,21300000,bensin
212,Honda,Beat,2023,5000,18200000,bensin
213,Honda,Sonic,2018,15000,16500000,bensin
214,Yamaha,YZF R15,2022,5000,36000000,bensin
215,Honda,Scoopy,2021,10000,17750000,bensin
216,Honda,Vario,2020,5000,19700000,bensin
217,Honda,Vario,2017,5000,16400000,bensin
218,Honda,CB 150R,2021,30000,24500000,bensin
219,Yamaha,Fino,2018,5000,12900000,bensin
220,Kawasaki,Ninja 250,2020,5000,28500000,bensin
221,Kawasaki,Ninja 250,2020,5000,28500000,bensin
222,Kawasaki,Ninja 250,2020,5000,28500000,bensin
223,Honda,Vario,2021,30000,22000000,bensin
224,Yamaha,Aerox,2018,5000,18750000,bensin
225,Honda,PCX,2022,20000,31400000,bensin
226,Honda,Beat,2023,5000,18200000,bensin
227,Honda,Scoopy,2023,5000,20700000,bensin
228,Honda,Beat,2018,70000,14200000,bensin
229,Honda,PCX,2020,25000,29700000,bensin
230,Honda,Scoopy,2020,30000,18500000,bensin
231,Harley Davidson,Touring,2020,5000,725000000,bensin
232,Harley Davidson,Touring,2013,10000,485000000,bensin
233,Yamaha,Xabre,2020,10000,29750000,bensin
234,Honda,CB 150R,2022,10000,25850000,bensin
235,Yamaha,YZF R15,2015,25000,13250000,bensin
236,Honda,CB 150R,2020,5000,21000000,bensin
237,Honda,Vario,2017,5000,15900000,bensin
238,Honda,CB 150R,2019,5000,19500000,bensin
239,Honda,CBR,2019,15000,23500000,bensin
240,Honda,Scoopy,2018,25000,15100000,bensin
241,Honda,Scoopy,2022,10000,18750000,bensin
242,Honda,Vario,2017,35000,15900000,bensin
243,Honda,Scoopy,2021,15000,17700000,bensin
244,Honda,CBR,2023,15000,28900000,bensin
245,Honda,Beat,2021,30000,15100000,bensin
246,Honda,Beat,2021,15000,14800000,bensin
247,Honda,CBR,2022,30000,27500000,bensin
248,Kawasaki,Ninja 250,2013,15000,27500000,bensin
249,Yamaha,NMAX,2022,20000,26500000,bensin
250,Yamaha,YZF R15,2023,10000,33800000,bensin
251,Honda,PCX,2021,15000,29500000,bensin
252,Kawasaki,Ninja 250,2016,50000,33300000,bensin
253,Yamaha,Mio,2018,5000,12500000,bensin
254,Suzuki,Shooter,2014,5000,5750000,bensin
255,Honda,Sonic,2021,5000,18400000,bensin
256,Honda,Vario,2017,20000,16500000,bensin
257,Honda,Vario,2017,50000,17800000,bensin
258,Yamaha,YZF R15,2015,25000,13250000,bensin
259,Suzuki,Shogun,2005,300000,4300000,bensin
260,Honda,Beat,2016,35000,10100000,bensin
261,Yamaha,Xeon,2015,25000,9000000,bensin
262,Yamaha,NMAX,2019,30000,21300000,bensin
263,Honda,Scoopy,2018,35000,14300000,bensin
264,Honda,Beat,2023,10000,16900000,bensin
265,Honda,Beat,2022,15000,15500000,bensin
266,Honda,PCX,2021,25000,26250000,bensin
267,Yamaha,NMAX,2021,25000,22600000,bensin
268,Honda,Beat,2015,45000,10000000,bensin
269,Honda,Vario,2017,35000,13900000,bensin
270,Honda,Beat,2019,65000,13200000,bensin
271,Honda,CBR,2019,30000,22300000,bensin
272,Honda,Scoopy,2018,5000,14500000,bensin
273,Honda,Beat,2011,5000,7800000,bensin
274,Honda,Beat,2018,5000,12500000,bensin
275,Yamaha,Vixion,2017,5000,12000000,bensin
276,Yamaha,Vixion,2014,5000,11000000,bensin
277,Honda,PCX,2020,25000,29700000,bensin
278,Honda,Scoopy,2020,25000,18500000,bensin
279,Honda,Beat,2014,105000,8000000,bensin
280,Yamaha,Aerox,2017,65000,16000000,bensin
281,Honda,CBR,2017,25000,39500000,bensin
282,Yamaha,Freego,2022,5000,19800000,bensin
283,Honda,Beat,2023,5000,18200000,bensin
284,Honda,Scoopy,2023,5000,20700000,bensin
285,Honda,CBR,2016,5000,18800000,bensin
286,Yamaha,Byson,2016,5000,13000000,bensin
287,Yamaha,Fino,2021,5000,17700000,bensin
288,Honda,Astrea,1996,300000,5000000,bensin
289,Honda,kharisma,2004,20000,4000000,bensin
290,Kawasaki,Ninja 250,2017,10000,42000000,bensin
291,Piaggio,Sprint,2019,15000,45000000,bensin
292,Kawasaki,Ninja 250,2017,10000,42000000,bensin
293,Honda,Beat,2022,5000,16500000,bensin
294,Honda,Scoopy,2016,25000,11500000,bensin
295,Honda,NSR,1991,30000,400000000,bensin
296,Kawasaki,ZX,2011,20000,250000000,bensin
297,Honda,Scoopy,2019,5000,14300000,bensin
298,Honda,Sonic,2015,50000,12500000,bensin
299,Honda,Sonic,2015,50000,12500000,bensin
300,Honda,CBR,2017,25000,17600000,bensin
301,Honda,Sonic,2015,50000,12500000,bensin
302,Honda,CBR,2023,5000,33500000,bensin
303,Honda,Sonic,2015,50000,12500000,bensin
304,Yamaha,NMAX,2020,20000,27000000,bensin
305,Yamaha,NMAX,2020,20000,27000000,bensin
306,Yamaha,NMAX,2020,20000,27000000,bensin
307,Yamaha,NMAX,2020,20000,27000000,bensin
308,Kawasaki,Ninja 250,2019,15000,41000000,bensin
309,Honda,Supra,2018,25000,14000000,bensin
310,Honda,Supra,2018,25000,14000000,bensin
311,Honda,Vario,2018,20000,18500000,bensin
312,Kawasaki,Ninja 250,2019,15000,41000000,bensin
313,Honda,CBR,2012,15000,26000000,bensin
314,Honda,CBR,2016,25000,16600000,bensin
315,Honda,CBR,2023,5000,33500000,bensin
316,Honda,Beat,2023,5000,18400000,bensin
317,Honda,Scoopy,2016,40000,12000000,bensin
318,Yamaha,Aerox,2018,50000,23800000,bensin
319,Honda,Beat,2020,35000,16200000,bensin
320,Honda,Vario,2019,40000,20400000,bensin
321,Honda,Beat,2021,30000,16900000,bensin
322,Honda,PCX,2022,20000,31400000,bensin
323,Honda,CB 150R,2017,15000,16500000,bensin
324,Yamaha,Vixion,2016,5000,8950000,bensin
325,Kawasaki,D-Tracker,2018,15000,23500000,bensin
326,Honda,PCX,2021,10000,28000000,bensin
327,Honda,Beat,2014,5000,8500000,bensin
328,Honda,Beat,2014,5000,8500000,bensin
329,Honda,Scoopy,2022,5000,19800000,bensin
330,Yamaha,YZF R15,2018,5000,26500000,bensin
331,Yamaha,NMAX,2021,20000,26500000,bensin
332,Yamaha,Aerox,2017,25000,19800000,bensin
333,Yamaha,YZF R15,2023,5000,26500000,bensin
334,Yamaha,NMAX,2021,20000,26500000,bensin
335,Yamaha,YZF R15,2023,5000,37000000,bensin
336,Yamaha,Grizzly,2021,50000,11750000,bensin
337,Yamaha,YZF R15,2021,15000,28500000,bensin
338,Honda,CBR,2018,15000,23000000,bensin
339,Yamaha,Xeon,2014,5000,8600000,bensin
340,Yamaha,Xabre,2016,5000,20500000,bensin
341,Yamaha,Xabre,2016,5000,20500000,bensin
342,Yamaha,Xabre,2016,5000,20500000,bensin
343,Yamaha,Freego,2022,5000,20500000,bensin
344,Yamaha,NMAX,2020,30000,23500000,bensin
345,Honda,CBR,2010,30000,25000000,bensin
346,Yamaha,NMAX,2020,35000,23950000,bensin
347,Honda,Beat,2021,20000,14950000,bensin
348,Honda,PCX,2019,25000,21950000,bensin
349,Honda,Beat,2021,25000,14850000,bensin
350,Yamaha,Scorpio,2012,35000,13900000,bensin
351,Honda,Vario,2016,30000,13350000,bensin
352,Honda,Vario,2015,35000,12900000,bensin
353,Honda,Vario,2015,40000,13500000,bensin
354,Honda,Beat,2016,35000,10750000,bensin
355,Honda,Beat,2016,45000,11000000,bensin
356,Honda,Beat,2015,60000,10100000,bensin
357,Honda,Scoopy,2016,25000,12500000,bensin
358,Yamaha,NMAX,2020,30000,23750000,bensin
359,Honda,CBR,2017,30000,16500000,bensin
360,Honda,Scoopy,2022,10000,18300000,bensin
361,Yamaha,NMAX,2019,30000,20800000,bensin
362,Yamaha,Vixion,2017,5000,12000000,bensin
363,Honda,Scoopy,2022,10000,18600000,bensin
364,Honda,Vario,2021,25000,20500000,bensin
365,Honda,Scoopy,2018,20000,15500000,bensin
366,Honda,Scoopy,2018,5000,14500000,bensin
367,Honda,Beat,2023,5000,17000000,bensin
368,Honda,Beat,2011,5000,7800000,bensin
369,Honda,Beat,2017,5000,16500000,bensin
370,Kawasaki,Ninja R,2015,50000,45000000,bensin
371,Honda,Beat,2017,50000,12500000,bensin
372,Harley Davidson,Touring,2016,5000,450000000,bensin
373,Kawasaki,Versys,2023,5000,75000000,bensin
374,Honda,CB,2016,35000,14500000,bensin
375,Piaggio,Primavera,2023,5000,45000000,bensin
376,Harley Davidson,Street,2021,5000,625000000,bensin
377,BMW,R1200GS,2020,5000,515000000,bensin
378,Ducati,Monster 696,2012,15000,140000000,bensin
379,Harley Davidson,Touring,2021,5000,725000000,bensin
380,Honda,CBR,2023,5000,61000000,bensin
381,KTM,Duke,2018,25000,35000000,bensin
382,Piaggio,Vespa,1986,105000,22000000,bensin
383,Kawasaki,Z Series,2013,15000,37500000,bensin
384,Harley Davidson,Touring,2019,10000,525000000,bensin
385,Kawasaki,Estrella,2019,10000,23250000,bensin
386,Piaggio,Vespa,1986,300000,85000000,bensin
387,Yamaha,F 1 ZR,2002,20000,11000000,bensin
388,Yamaha,F 1 ZR,1999,25000,9900000,bensin
389,Yamaha,NMAX,2019,55000,21000000,bensin
390,Honda,CB 150R,2018,30000,16000000,bensin
391,Yamaha,R1,2014,15000,350000000,bensin
392,Honda,Beat,2023,5000,16250000,bensin
393,Kawasaki,Ninja,2022,5000,135000000,bensin
394,Yamaha,NMAX,2022,55000,27500000,bensin
395,Piaggio,Sprint,2022,5000,48500000,bensin
396,Lain-lain,Lain-lain,2021,10000,90000000,bensin
397,Benelli,Patagonian Eagle,2021,25000,60000000,bensin
398,Piaggio,Vespa,1986,5000,90000000,bensin
399,Honda,Beat,2016,30000,11500000,bensin
400,Harley Davidson,V-Rod,2010,10000,365000000,bensin
401,Kawasaki,Ninja R,2019,30000,20500000,bensin
402,Kawasaki,KLX,2021,10000,28500000,bensin
403,Honda,Vario,2021,25000,20500000,bensin
404,Honda,Vario,2020,15000,18500000,bensin
405,Yamaha,Xmax,2018,15000,46000000,bensin
406,Honda,Scoopy,2018,35000,14000000,bensin
407,Honda,Scoopy,2023,10000,19000000,bensin
408,Honda,Vario,2019,30000,18500000,bensin
409,Honda,Beat,2019,30000,14000000,bensin
410,Yamaha,Xeon,2015,35000,9000000,bensin
411,Honda,Impressa,1995,30000,10500000,bensin
412,Honda,Beat,2022,15000,16000000,bensin
413,Yamaha,NMAX,2022,5000,29800000,bensin
414,Honda,CBR,2019,5000,24500000,bensin
415,Yamaha,Freego,2021,5000,14500000,bensin
416,Honda,Scoopy,2023,10000,19800000,bensin
417,Honda,CBR,2023,5000,33500000,bensin
418,Yamaha,Soul GT,2016,20000,10500000,bensin
419,Yamaha,Freego,2021,20000,15200000,bensin
420,Yamaha,Freego,2021,20000,15200000,bensin
421,Yamaha,Vixion,2016,5000,8950000,bensin
422,Honda,Vario,2014,45000,10000000,bensin
423,Honda,Scoopy,2021,40000,16800000,bensin
424,Yamaha,RX,1986,300000,7999999,bensin
425,Honda,Scoopy,2018,35000,14000000,bensin
426,Honda,Scoopy,2018,35000,14000000,bensin
427,Yamaha,MT 25,2019,5000,45500000,bensin
428,Yamaha,MT 25,2019,5000,45500000,bensin
429,Kawasaki,Ninja 250,2018,5000,47500000,bensin
430,Honda,Beat,2018,70000,13900000,bensin
431,Honda,PCX,2020,25000,29700000,bensin
432,Honda,Scoopy,2020,30000,18500000,bensin
433,Honda,Beat,2017,30000,12500000,bensin
434,Harley Davidson,Street,2014,25000,395000000,bensin
435,Honda,Supra,2011,25000,9250000,bensin
436,Honda,Supra,2011,20000,9250000,bensin
437,Piaggio,Primavera,2020,20000,44990000,bensin
438,Piaggio,Sprint,2021,5000,58850000,bensin
439,Piaggio,Primavera,2020,5000,60000000,bensin
440,Yamaha,Vixion,2015,60000,11000000,bensin
441,Honda,CBR,2019,10000,24500000,bensin
442,Honda,Vario,2021,20000,19250000,bensin
443,Honda,Vario,2021,20000,19250000,bensin
444,Honda,Beat,2021,20000,16700000,bensin
445,Kawasaki,ZX,2023,5000,385000000,bensin
446,Honda,CB 150R,2016,5000,16500000,bensin
447,Honda,CB 150R,2016,5000,16500000,bensin
448,Honda,CBR,2016,15000,16500000,bensin
449,Yamaha,Mio,2022,5000,14500000,bensin
450,Yamaha,Mio,2018,5000,10900000,bensin
451,Honda,Tiger,2012,5000,31000000,bensin
452,Honda,Beat,2021,20000,16500000,bensin
453,Piaggio,Primavera,2023,5000,53000000,bensin
454,Piaggio,Primavera,2023,5000,53000000,bensin
455,Yamaha,NMAX,2023,5000,31300000,bensin
456,Lain-lain,Lain-lain,2020,15000,20500000,bensin
457,Honda,Vario,2017,70000,14500000,bensin
458,Honda,CRF250Rally,2023,5000,32899000,bensin
459,Yamaha,NMAX,2021,25000,27000000,bensin
460,Honda,CB 150R,2015,80000,4500000,bensin
461,Yamaha,NMAX,2021,45000,25500000,bensin
462,Honda,Vario,2020,30000,20000000,bensin
463,Honda,Vario,2020,30000,20000000,bensin
464,Honda,Vario,2020,30000,20000000,bensin
465,Yamaha,Aerox,2017,20000,20000000,bensin
466,Yamaha,Aerox,2017,20000,20000000,bensin
467,Honda,Vario,2020,30000,20000000,bensin
468,Honda,Vario,2020,30000,20000000,bensin
469,Honda,Vario,2020,30000,20000000,bensin
470,Honda,PCX,2019,20000,28500000,bensin
471,Honda,Scoopy,2020,20000,18500000,bensin
472,Honda,Scoopy,2020,20000,18500000,bensin
473,Honda,Supra,2016,20000,10500000,bensin
474,Kawasaki,Ninja 250,2022,10000,59000000,bensin
475,Kawasaki,Ninja 250,2022,10000,59000000,bensin
476,Honda,Scoopy,2020,20000,18500000,bensin
477,Honda,Scoopy,2020,20000,18500000,bensin
478,Honda,Scoopy,2020,20000,18500000,bensin
479,Honda,Scoopy,2020,20000,18500000,bensin
480,Honda,Vario,2014,30000,12500000,bensin
481,Kawasaki,Ninja 250,2020,25000,42000000,bensin
482,Honda,Vario,2014,30000,12500000,bensin
483,Honda,Vario,2014,30000,12500000,bensin
484,Honda,Vario,2014,30000,12500000,bensin
485,Honda,Vario,2014,30000,12500000,bensin
486,Honda,Vario,2014,30000,12500000,bensin
487,Yamaha,Aerox,2019,5000,28500000,bensin
488,Honda,Beat,2017,5000,13500000,bensin
489,Honda,Forza,2019,10000,74000000,bensin
490,Honda,PCX,2019,30000,23000000,bensin
491,Honda,Vario,2014,30000,11500000,bensin
492,Yamaha,NMAX,2021,10000,29000000,bensin
493,Yamaha,Mio,2016,55000,8250000,bensin
494,Yamaha,NMAX,2021,10000,29000000,bensin
495,Yamaha,Soul GT,2016,25000,10500000,bensin
496,Honda,Vario,2015,30000,10200000,bensin
497,Yamaha,Freego,2021,20000,15200000,bensin
498,Yamaha,Vixion,2013,15000,10850000,bensin
499,Yamaha,YZF R15,2022,5000,36000000,bensin
500,Kawasaki,Ninja,2013,5000,50500000,bensin
501,Honda,Beat,2015,55000,10850000,bensin
502,Kawasaki,ZX,1999,30000,55000000,bensin
503,Harley Davidson,Sportster,2013,25000,235000000,bensin
504,Yamaha,YZF R25,2016,35000,33800000,bensin
505,Kawasaki,Ninja 250,2018,20000,48000000,bensin
506,Kawasaki,Ninja 250,2022,5000,28500000,bensin
507,Kawasaki,Ninja 250,2020,5000,28500000,bensin
508,Honda,Vario,2011,25000,8350000,bensin
509,Kawasaki,Ninja 250,2020,5000,28500000,bensin
510,Kawasaki,Ninja 250,2018,10000,43000000,bensin
511,Honda,Scoopy,2021,15000,17750000,bensin
512,Honda,CBR,2023,5000,61000000,bensin
513,Honda,CBR,2023,5000,61000000,bensin
514,Honda,CBR,2023,5000,61000000,bensin
515,Honda,CRF250Rally,2023,10000,31420000,bensin
516,Honda,Vario,2020,5000,19700000,bensin
517,Honda,CB 150R,2021,30000,24500000,bensin
518,Honda,CB 150R,2021,30000,24500000,bensin
519,Honda,CB 150R,2021,30000,24500000,bensin
520,Kawasaki,Ninja 250,2020,5000,28500000,bensin
521,Honda,Vario,2018,25000,16800000,bensin
522,Honda,Vario,2018,20000,16800000,bensin
523,Piaggio,LX,2019,10000,33500000,bensin
524,Yamaha,YZF R15,2015,25000,13250000,bensin
525,Kawasaki,Z Series,2022,5000,410000000,bensin
526,Yamaha,NMAX,2019,15000,23000000,bensin
527,Honda,Beat,2018,40000,12400000,bensin
528,Honda,Beat,2023,5000,18200000,bensin
529,Honda,Scoopy,2023,5000,20700000,bensin
530,Yamaha,Mio,2014,85000,7600000,bensin
531,Honda,Supra,2016,25000,11800000,bensin
532,Honda,Beat,2019,15000,13000000,bensin
533,Honda,Beat,2021,15000,14800000,bensin
534,Yamaha,Fino,2024,5000,26500000,bensin
535,Yamaha,Mio,2021,15000,16000000,bensin
536,Honda,CB 150R,2016,5000,16500000,bensin
537,Kawasaki,Ninja 250,2016,5000,33900000,bensin
538,Yamaha,Byson,2012,5000,19000000,bensin
539,Yamaha,Xeon,2015,60000,9250000,bensin
