company,name,year,kms_driven,price,fuel_type,unnamed: 6
Honda,Scoopy,2019,35000,11800000,bensin,
Yamaha,Mio,2016,25000,9750000,bensin,
Honda,Vario,2018,20000,17700000,bensin,
Honda,Vario,2022,10000,25500000,bensin,
Honda,Vario,2022,10000,22900000,bensin,
Honda,Beat,2020,15000,15500000,bensin,
Honda,Vario,2022,10000,21500000,bensin,
Yamaha,Mio,2018,20000,10600000,bensin,
Honda,Vario,2010,5000,4200000,bensin,
Honda,Vario,2010,5000,4200000,bensin,
Yamaha,Vixion,2016,5000,8950000,bensin,
Honda,Vario,2018,20000,17750000,bensin,
Yamaha,NMAX,2022,15000,26000000,bensin,
Yamaha,YZF R15,2022,5000,36000000,bensin,
Yamaha,YZF R15,2022,5000,36000000,bensin,
Honda,Supra,1991,300000,4800000,bensin,
Yamaha,Mio,2016,25000,9750000,bensin,
Yamaha,Mio,2016,20000,9750000,bensin,
Yamaha,Vixion,2017,5000,12000000,bensin,
Honda,Beat,2011,5000,7800000,bensin,
Honda,Beat,2018,5000,12500000,bensin,
Honda,Beat,2022,5000,16500000,bensin,
Honda,Beat,2019,20000,13000000,bensin,
Honda,Beat,2022,5000,16500000,bensin,
Benelli,BN,2021,5000,200000000,bensin,
Yamaha,Aerox,2021,45000,25000000,bensin,
Kawasaki,Ninja KRR,2013,75000,17500000,bensin,
Honda,Sonic,2020,25000,13000000,bensin,
Yamaha,Vega R,2004,5000,4000000,bensin,
Kawasaki,Ninja 250,2023,40000,29000000,bensin,
Yamaha,Mio,2008,15000,4200000,bensin,
Honda,CBR,2014,45000,15800000,bensin,
Honda,Scoopy,2022,15000,19800000,bensin,
Honda,Vario,2016,15000,19000000,bensin,
Kawasaki,ZX,2021,20000,99500000,bensin,
Honda,Vario,2021,45000,18500000,bensin,
Honda,PCX,2018,30000,21850000,bensin,
Yamaha,Freego,2023,10000,26000000,bensin,
Yamaha,Vega R,2008,90000,4600000,bensin,
Yamaha,MT 25,2019,5000,45500000,bensin,
Yamaha,MT 25,2019,5000,45500000,bensin,
Yamaha,Vixion,2016,5000,8950000,bensin,
Honda,PCX,2022,10000,28800000,bensin,
Yamaha,Jupiter,2023,5000,25500000,bensin,
Honda,CBR,2019,5000,25500000,bensin,
Kawasaki,Ninja 250,2015,5000,37500000,bensin,
Honda,CBR,2022,5000,61000000,bensin,
Kawasaki,W800,2020,10000,26000000,bensin,
Kawasaki,W800,2020,5000,26000000,bensin,
Yamaha,Freego,2021,20000,15200000,bensin,
Suzuki,Satria,2016,15000,15000000,bensin,
Yamaha,Soul GT,2016,20000,10500000,bensin,
Honda,CBR,2017,5000,21500000,bensin,
Suzuki,GSX,2018,5000,19800000,bensin,
Honda,Vario,2014,95000,9100000,bensin,
Kawasaki,Ninja 250,2015,5000,21500000,bensin,
Kawasaki,Ninja 250,2019,15000,48000000,bensin,
Honda,Beat,2020,5000,14600000,bensin,
Kawasaki,Ninja 250,2019,20000,48000000,bensin,
Honda,Sonic,2018,5000,16500000,bensin,
Honda,Vario,2015,20000,15500000,bensin,
Yamaha,YZF R15,2022,5000,36000000,bensin,
Kawasaki,Ninja 250,2020,5000,28500000,bensin,
Kawasaki,Ninja 250,2018,10000,43000000,bensin,
Honda,Vario,2023,5000,21300000,bensin,
Honda,Beat,2023,5000,18200000,bensin,
Honda,Sonic,2018,15000,16500000,bensin,
Yamaha,YZF R15,2022,5000,36000000,bensin,
Honda,Scoopy,2021,10000,17750000,bensin,
Honda,Vario,2020,5000,19700000,bensin,
Honda,Vario,2017,5000,16400000,bensin,
Honda,CB 150R,2021,30000,24500000,bensin,
Yamaha,Fino,2018,5000,12900000,bensin,
Kawasaki,Ninja 250,2020,5000,28500000,bensin,
Kawasaki,Ninja 250,2020,5000,28500000,bensin,
Kawasaki,Ninja 250,2020,5000,28500000,bensin,
Honda,Vario,2021,30000,22000000,bensin,
Yamaha,Aerox,2018,5000,18750000,bensin,
Honda,PCX,2022,20000,31400000,bensin,
Honda,Beat,2023,5000,18200000,bensin,
Honda,Scoopy,2023,5000,20700000,bensin,
Honda,Beat,2018,70000,14200000,bensin,
Honda,PCX,2020,25000,29700000,bensin,
Honda,Scoopy,2020,30000,18500000,bensin,
Yamaha,Xabre,2020,10000,29750000,bensin,
Honda,CB 150R,2022,10000,25850000,bensin,
Yamaha,YZF R15,2015,25000,13250000,bensin,
Honda,CB 150R,2020,5000,21000000,bensin,
Honda,Vario,2017,5000,15900000,bensin,
Honda,CB 150R,2019,5000,19500000,bensin,
Honda,CBR,2019,15000,23500000,bensin,
Honda,Scoopy,2018,25000,15100000,bensin,
Honda,Scoopy,2022,10000,18750000,bensin,
Honda,Vario,2017,35000,15900000,bensin,
Honda,Scoopy,2021,15000,17700000,bensin,
