company,name,year,kms_driven,price,fuel_type,unnamed: 6
3,6,2019,15000,48000000,1,
1,3,2020,5000,14600000,1,
3,6,2019,20000,48000000,1,
1,20,2018,5000,16500000,1,
1,2,2015,20000,15500000,1,
2,11,2022,5000,36000000,1,
3,6,2020,5000,28500000,1,
3,6,2018,10000,43000000,1,
1,2,2023,5000,21300000,1,
1,3,2023,5000,18200000,1,
1,20,2018,15000,16500000,1,
2,11,2022,5000,36000000,1,
1,4,2021,10000,17750000,1,
1,2,2020,5000,19700000,1,
1,2,2017,5000,16400000,1,
1,12,2021,30000,24500000,1,
2,16,2018,5000,12900000,1,
3,6,2020,5000,28500000,1,
3,6,2020,5000,28500000,1,
3,6,2020,5000,28500000,1,
1,2,2021,30000,22000000,1,
2,13,2018,5000,18750000,1,
1,8,2022,20000,31400000,1,
1,3,2023,5000,18200000,1,
1,4,2023,5000,20700000,1,
1,3,2018,70000,14200000,1,
1,8,2020,25000,29700000,1,
1,4,2020,30000,18500000,1,
2,23,2020,10000,29750000,1,
1,12,2022,10000,25850000,1,
2,11,2015,25000,13250000,1,
1,12,2020,5000,21000000,1,
1,2,2017,5000,15900000,1,
1,12,2019,5000,19500000,1,
1,5,2019,15000,23500000,1,
1,4,2018,25000,15100000,1,
1,4,2022,10000,18750000,1,
1,2,2017,35000,15900000,1,
1,4,2021,15000,17700000,1,
1,5,2023,15000,28900000,1,
1,3,2021,30000,15100000,1,
1,3,2021,15000,14800000,1,
1,5,2022,30000,27500000,1,
3,6,2013,15000,27500000,1,
2,7,2022,20000,26500000,1,
2,11,2023,10000,33800000,1,
1,8,2021,15000,29500000,1,
3,6,2016,50000,33300000,1,
2,9,2018,5000,12500000,1,
7,71,2014,5000,5750000,1,
1,20,2021,5000,18400000,1,
1,2,2017,20000,16500000,1,
1,2,2017,50000,17800000,1,
2,11,2015,25000,13250000,1,
7,33,2005,300000,4300000,1,
1,3,2016,35000,10100000,1,
2,18,2015,25000,9000000,1,
2,7,2019,30000,21300000,1,
1,4,2018,35000,14300000,1,
1,3,2023,10000,16900000,1,
1,3,2022,15000,15500000,1,
1,8,2021,25000,26250000,1,
2,7,2021,25000,22600000,1,
1,3,2015,45000,10000000,1,
1,2,2017,35000,13900000,1,
1,3,2019,65000,13200000,1,
1,5,2019,30000,22300000,1,
1,4,2018,5000,14500000,1,
1,3,2011,5000,7800000,1,
1,3,2018,5000,12500000,1,
2,14,2017,5000,12000000,1,
2,14,2014,5000,11000000,1,
1,8,2020,25000,29700000,1,
1,4,2020,25000,18500000,1,
1,3,2014,105000,8000000,1,
2,13,2017,65000,16000000,1,
1,5,2017,25000,39500000,1,
2,15,2022,5000,19800000,1,
1,3,2023,5000,18200000,1,
1,4,2023,5000,20700000,1,
1,5,2016,5000,18800000,1,
2,46,2016,5000,13000000,1,
2,16,2021,5000,17700000,1,
1,69,1996,300000,5000000,1,
1,68,2004,20000,4000000,1,
3,6,2017,10000,42000000,1,
3,6,2017,10000,42000000,1,
1,3,2022,5000,16500000,1,
1,4,2016,25000,11500000,1,
1,67,1991,30000,400000000,1,
3,21,2011,20000,250000000,1,
1,4,2019,5000,14300000,1,
1,20,2015,50000,12500000,1,
1,20,2015,50000,12500000,1,
1,5,2017,25000,17600000,1,
1,20,2015,50000,12500000,1,
1,5,2023,5000,33500000,1,
1,20,2015,50000,12500000,1,
2,7,2020,20000,27000000,1,
2,7,2020,20000,27000000,1,
2,7,2020,20000,27000000,1,
2,7,2020,20000,27000000,1,
3,6,2019,15000,41000000,1,
1,10,2018,25000,14000000,1,
1,10,2018,25000,14000000,1,
1,2,2018,20000,18500000,1,
3,6,2019,15000,41000000,1,
1,5,2012,15000,26000000,1,
1,5,2016,25000,16600000,1,
1,5,2023,5000,33500000,1,
1,3,2023,5000,18400000,1,
1,4,2016,40000,12000000,1,
2,13,2018,50000,23800000,1,
1,3,2020,35000,16200000,1,
1,2,2019,40000,20400000,1,
1,3,2021,30000,16900000,1,
1,8,2022,20000,31400000,1,
1,12,2017,15000,16500000,1,
2,14,2016,5000,8950000,1,
3,66,2018,15000,23500000,1,
1,8,2021,10000,28000000,1,
1,3,2014,5000,8500000,1,
1,3,2014,5000,8500000,1,
1,4,2022,5000,19800000,1,
2,11,2018,5000,26500000,1,
2,7,2021,20000,26500000,1,
2,13,2017,25000,19800000,1,
2,11,2023,5000,26500000,1,
2,7,2021,20000,26500000,1,
2,11,2023,5000,37000000,1,
2,65,2021,50000,11750000,1,
2,11,2021,15000,28500000,1,
1,5,2018,15000,23000000,1,
2,18,2014,5000,8600000,1,
2,23,2016,5000,20500000,1,
2,23,2016,5000,20500000,1,
2,23,2016,5000,20500000,1,
2,15,2022,5000,20500000,1,
2,7,2020,30000,23500000,1,
1,5,2010,30000,25000000,1,
2,7,2020,35000,23950000,1,
1,3,2021,20000,14950000,1,
1,8,2019,25000,21950000,1,
1,3,2021,25000,14850000,1,
2,37,2012,35000,13900000,1,
1,2,2016,30000,13350000,1,
1,2,2015,35000,12900000,1,
1,2,2015,40000,13500000,1,
1,3,2016,35000,10750000,1,
1,3,2016,45000,11000000,1,
1,3,2015,60000,10100000,1,
1,4,2016,25000,12500000,1,
2,7,2020,30000,23750000,1,
1,5,2017,30000,16500000,1,
1,4,2022,10000,18300000,1,
2,7,2019,30000,20800000,1,
2,14,2017,5000,12000000,1,
1,4,2022,10000,18600000,1,
1,2,2021,25000,20500000,1,
1,4,2018,20000,15500000,1,
1,4,2018,5000,14500000,1,
1,3,2023,5000,17000000,1,
1,3,2011,5000,7800000,1,
1,3,2017,5000,16500000,1,
3,48,2015,50000,45000000,1,
1,3,2017,50000,12500000,1,
3,64,2023,5000,75000000,1,
1,36,2016,35000,14500000,1,
1,5,2023,5000,61000000,1,
3,19,2013,15000,37500000,1,
3,41,2019,10000,23250000,1,
2,40,2002,20000,11000000,1,
2,40,1999,25000,9900000,1,
2,7,2019,55000,21000000,1,
1,12,2018,30000,16000000,1,
2,63,2014,15000,350000000,1,
1,3,2023,5000,16250000,1,
3,39,2022,5000,135000000,1,
2,7,2022,55000,27500000,1,
16,62,2021,25000,60000000,1,
1,3,2016,30000,11500000,1,
3,48,2019,30000,20500000,1,
3,57,2021,10000,28500000,1,
1,2,2021,25000,20500000,1,
1,2,2020,15000,18500000,1,
2,29,2018,15000,46000000,1,
1,4,2018,35000,14000000,1,
1,4,2023,10000,19000000,1,
1,2,2019,30000,18500000,1,
1,3,2019,30000,14000000,1,
2,18,2015,35000,9000000,1,
1,61,1995,30000,10500000,1,
1,3,2022,15000,16000000,1,
2,7,2022,5000,29800000,1,
1,5,2019,5000,24500000,1,
2,15,2021,5000,14500000,1,
1,4,2023,10000,19800000,1,
1,5,2023,5000,33500000,1,
2,17,2016,20000,10500000,1,
2,15,2021,20000,15200000,1,
2,15,2021,20000,15200000,1,
2,14,2016,5000,8950000,1,
1,2,2014,45000,10000000,1,
1,4,2021,40000,16800000,1,
2,60,1986,300000,7999999,1,
1,4,2018,35000,14000000,1,
1,4,2018,35000,14000000,1,
2,28,2019,5000,45500000,1,
2,28,2019,5000,45500000,1,
3,6,2018,5000,47500000,1,
1,3,2018,70000,13900000,1,
1,8,2020,25000,29700000,1,
1,4,2020,30000,18500000,1,
1,3,2017,30000,12500000,1,
1,10,2011,25000,9250000,1,
1,10,2011,20000,9250000,1,
2,14,2015,60000,11000000,1,
1,5,2019,10000,24500000,1,
1,2,2021,20000,19250000,1,
1,2,2021,20000,19250000,1,
1,3,2021,20000,16700000,1,
3,21,2023,5000,385000000,1,
1,12,2016,5000,16500000,1,
1,12,2016,5000,16500000,1,
1,5,2016,15000,16500000,1,
2,9,2022,5000,14500000,1,
2,9,2018,5000,10900000,1,
1,59,2012,5000,31000000,1,
1,3,2021,20000,16500000,1,
2,7,2023,5000,31300000,1,
1,2,2017,70000,14500000,1,
1,30,2023,5000,32899000,1,
2,7,2021,25000,27000000,1,
1,12,2015,80000,4500000,1,
2,7,2021,45000,25500000,1,
1,2,2020,30000,20000000,1,
1,2,2020,30000,20000000,1,
1,2,2020,30000,20000000,1,
2,13,2017,20000,20000000,1,
2,13,2017,20000,20000000,1,
1,2,2020,30000,20000000,1,
1,2,2020,30000,20000000,1,
1,2,2020,30000,20000000,1,
1,8,2019,20000,28500000,1,
1,4,2020,20000,18500000,1,
1,4,2020,20000,18500000,1,
1,10,2016,20000,10500000,1,
3,6,2022,10000,59000000,1,
3,6,2022,10000,59000000,1,
1,4,2020,20000,18500000,1,
1,4,2020,20000,18500000,1,
1,4,2020,20000,18500000,1,
1,4,2020,20000,18500000,1,
1,2,2014,30000,12500000,1,
3,6,2020,25000,42000000,1,
1,2,2014,30000,12500000,1,
1,2,2014,30000,12500000,1,
1,2,2014,30000,12500000,1,
1,2,2014,30000,12500000,1,
1,2,2014,30000,12500000,1,
2,13,2019,5000,28500000,1,
1,3,2017,5000,13500000,1,
1,25,2019,10000,74000000,1,
1,8,2019,30000,23000000,1,
1,2,2014,30000,11500000,1,
2,7,2021,10000,29000000,1,
2,9,2016,55000,8250000,1,
2,7,2021,10000,29000000,1,
2,17,2016,25000,10500000,1,
1,2,2015,30000,10200000,1,
2,15,2021,20000,15200000,1,
2,14,2013,15000,10850000,1,
2,11,2022,5000,36000000,1,
3,39,2013,5000,50500000,1,
1,3,2015,55000,10850000,1,
3,21,1999,30000,55000000,1,
2,43,2016,35000,33800000,1,
3,6,2018,20000,48000000,1,
3,6,2022,5000,28500000,1,
3,6,2020,5000,28500000,1,
1,2,2011,25000,8350000,1,
3,6,2020,5000,28500000,1,
3,6,2018,10000,43000000,1,
1,4,2021,15000,17750000,1,
1,5,2023,5000,61000000,1,
1,5,2023,5000,61000000,1,
1,5,2023,5000,61000000,1,
1,30,2023,10000,31420000,1,
1,2,2020,5000,19700000,1,
1,12,2021,30000,24500000,1,
1,12,2021,30000,24500000,1,
1,12,2021,30000,24500000,1,
3,6,2020,5000,28500000,1,
1,2,2018,25000,16800000,1,
1,2,2018,20000,16800000,1,
2,11,2015,25000,13250000,1,
3,19,2022,5000,410000000,1,
2,7,2019,15000,23000000,1,
1,3,2018,40000,12400000,1,
1,3,2023,5000,18200000,1,
1,4,2023,5000,20700000,1,
2,9,2014,85000,7600000,1,
1,10,2016,25000,11800000,1,
1,3,2019,15000,13000000,1,
1,3,2021,15000,14800000,1,
2,16,2024,5000,26500000,1,
2,9,2021,15000,16000000,1,
1,12,2016,5000,16500000,1,
3,6,2016,5000,33900000,1,
2,46,2012,5000,19000000,1,
2,18,2015,60000,9250000,1,
2,18,2014,80000,9000000,1,
2,18,2014,100000,8500000,1,
2,18,2013,100000,8200000,1,
2,18,2014,80000,8550000,1,
3,35,2021,5000,27900000,1,
3,19,2017,35000,35000000,1,
3,19,2013,50000,22500000,1,
1,36,2022,25000,27000000,1,
2,34,2020,25000,26500000,1,
3,38,2013,20000,64500000,1,
2,14,2014,5000,10000000,1,
16,47,2017,20000,29500000,1,
1,3,2018,5000,15400000,1,
7,33,2002,105000,4000000,1,
2,16,2023,5000,21800000,1,
3,19,2015,15000,30000000,1,
1,2,2016,5000,17700000,1,
1,2,2022,20000,22700000,1,
1,3,2009,25000,6800000,1,
1,10,2016,20000,10400000,1,
1,4,2016,5000,13800000,1,
2,11,2014,5000,16500000,1,
1,10,2004,55000,5000000,1,
1,3,2013,5000,9500000,1,
1,2,2022,10000,26500000,1,
3,6,2022,10000,59000000,1,
1,2,2017,85000,13750000,1,
1,2,2020,20000,17950000,1,
1,3,2022,10000,17800000,1,
1,2,2015,5000,12500000,1,
1,5,2023,5000,33500000,1,
2,11,2015,5000,17000000,1,
1,25,2019,10000,74000000,1,
1,2,2014,25000,11500000,1,
2,7,2021,10000,29000000,1,
2,15,2019,20000,16500000,1,
2,16,2022,20000,19000000,1,
1,2,2020,55000,19500000,1,
1,3,2014,50000,8000000,1,
1,3,2015,35000,10000000,1,
1,10,2017,20000,11800000,1,
1,8,2019,20000,26500000,1,
2,9,2009,100000,4900000,1,
1,27,2020,15000,10000000,1,
1,5,2017,25000,39500000,1,
3,21,2021,20000,99500000,1,
7,44,2013,25000,7450000,1,
2,7,2021,25000,27500000,1,
1,8,2021,5000,28000000,1,
2,28,2019,5000,45500000,1,
1,5,2022,5000,61000000,1,
7,31,2018,5000,19800000,1,
3,6,2020,5000,28500000,1,
1,4,2021,15000,17750000,1,
1,4,2021,10000,17750000,1,
1,10,2022,15000,20500000,1,
2,29,2022,15000,32000000,1,
1,8,2020,5000,25500000,1,
1,2,2022,5000,19800000,1,
3,6,2020,5000,28500000,1,
2,26,2001,40000,4000000,1,
1,3,2022,20000,15850000,1,
1,3,2019,300000,11000000,1,
1,3,2019,55000,13500000,1,
2,15,2020,5000,16500000,1,
2,11,2015,25000,13250000,1,
1,10,2017,60000,9750000,1,
7,33,2010,75000,6500000,1,
2,54,2022,5000,19950000,1,
1,4,2019,20000,13000000,1,
3,38,2013,20000,64500000,1,
1,5,2017,25000,39500000,1,
2,34,2020,25000,26500000,1,
1,2,2017,25000,16500000,1,
3,19,2013,40000,28500000,1,
1,5,2017,25000,17600000,1,
1,5,2023,5000,33500000,1,
3,6,2019,15000,41000000,1,
1,5,2016,20000,16600000,1,
1,3,2022,5000,17000000,1,
1,5,2019,15000,20000000,1,
1,12,2016,5000,13500000,1,
1,12,2016,5000,13500000,1,
1,2,2018,20000,18500000,1,
2,11,2018,15000,26500000,1,
2,11,2023,5000,37000000,1,
2,7,2019,45000,24300000,1,
2,17,2016,35000,11000000,1,
2,23,2016,5000,20500000,1,
3,6,2018,15000,47500000,1,
1,2,2017,35000,15500000,1,
2,7,2017,30000,19700000,1,
1,27,2020,5000,12500000,1,
1,8,2019,25000,22500000,1,
1,3,2018,45000,12200000,1,
1,2,2018,20000,16500000,1,
1,8,2019,25000,22500000,1,
1,2,2013,15000,10500000,1,
2,16,2008,35000,34950000,1,
1,4,2018,40000,15500000,1,
1,3,2022,5000,16000000,1,
2,14,2015,120000,13500000,1,
1,2,2010,5000,4200000,1,
2,11,2023,5000,36500000,1,
1,30,2022,15000,33500000,1,
1,5,2018,5000,23000000,1,
1,12,2017,15000,18500000,1,
1,3,2013,10000,8700000,1,
2,13,2017,40000,18000000,1,
2,37,2011,55000,10000000,1,
3,19,2022,5000,480000000,1,
2,7,2017,20000,19700000,1,
2,13,2017,15000,19800000,1,
18,53,2022,5000,290000000,1,
1,5,2020,15000,25000000,1,
3,21,2019,15000,350000000,1,
7,31,2017,20000,18500000,1,
3,21,2023,5000,390000000,1,
2,26,2014,85000,10500000,1,
1,5,2023,5000,73000000,1,
1,25,2018,10000,72000000,1,
1,32,2021,5000,80000000,1,
1,32,2023,5000,89000000,1,
2,29,2023,5000,68500000,1,
1,32,2023,5000,96000000,1,
1,45,2023,5000,38000000,1,
1,32,2023,5000,96000000,1,
1,45,2023,5000,38000000,1,
1,49,2023,5000,38000000,1,
2,16,2021,5000,92500000,1,
2,43,2019,5000,80000000,1,
1,25,2019,10000,74000000,1,
1,3,2019,5000,15900000,1,
3,19,2014,25000,15500000,1,
1,10,2019,5000,12500000,1,
2,11,2014,5000,16500000,1,
1,27,2019,40000,8500000,1,
2,7,2021,10000,28500000,1,
7,50,2018,40000,9700000,1,
1,2,2022,5000,25500000,1,
1,12,2019,15000,17250000,1,
2,9,2022,5000,16900000,1,
1,4,2021,15000,19000000,1,
1,27,2012,5000,8000000,1,
2,17,2012,35000,7500000,1,
1,30,2023,5000,31300000,1,
1,3,2023,5000,17000000,1,
2,13,2019,15000,22000000,1,
2,7,2021,10000,29500000,1,
2,29,2017,15000,44500000,1,
2,9,2011,25000,5950000,1,
2,15,2022,15000,20500000,1,
1,2,2013,25000,11300000,1,
2,7,2022,10000,26500000,1,
1,8,2019,20000,25000000,1,
1,2,2019,45000,17600000,1,
7,33,1997,60000,6900000,1,
1,5,2019,5000,24000000,1,
1,3,2014,5000,9800000,1,
2,11,2018,10000,23000000,1,
2,22,2019,5000,15500000,1,
2,13,2019,15000,22000000,1,
1,12,2020,5000,21000000,1,
1,2,2018,20000,16500000,1,
1,3,2022,35000,14500000,1,
1,3,2021,15000,16900000,1,
3,41,2020,35000,22750000,1,
2,9,2008,60000,5000000,1,
1,10,2011,25000,10000000,1,
1,10,2018,5000,14800000,1,
2,9,2021,10000,16900000,1,
3,6,2019,5000,49000000,1,
1,51,2012,70000,6900000,1,
7,31,2022,20000,18500000,1,
1,12,2017,15000,18500000,1,
2,7,2017,25000,19700000,1,
1,5,2020,15000,25000000,1,
1,8,2021,35000,27000000,1,
1,3,2023,20000,17000000,1,
1,2,2008,85000,5000000,1,
2,22,2022,15000,22000000,1,
1,3,2023,10000,17300000,1,
1,2,2023,5000,21300000,1,
1,2,2022,5000,24500000,1,
2,16,2019,25000,13500000,1,
1,4,2021,5000,17900000,1,
2,16,2019,20000,13500000,1,
18,52,2022,5000,50000000,1,
1,2,2014,45000,10500000,1,
1,4,2022,15000,19750000,1,
2,14,2015,55000,13750000,1,
1,3,2022,10000,17800000,1,
1,3,2021,5000,16500000,1,
1,3,2021,45000,13200000,1,
1,8,2022,20000,31400000,1,
1,3,2020,35000,16200000,1,
2,23,2016,35000,14500000,1,
2,56,2005,25000,3000000,1,
1,2,2013,35000,10200000,1,
1,3,2015,5000,10400000,1,
1,3,2018,5000,12800000,1,
1,3,2011,5000,7800000,1,
1,3,2023,5000,17000000,1,
1,8,2021,15000,26500000,1,
2,9,2014,35000,5500000,1,
2,34,2020,25000,26500000,1,
1,10,2010,90000,8500000,1,
1,5,2019,45000,17500000,1,
1,4,2016,40000,11300000,1,
2,11,2014,40000,17000000,1,
2,11,2014,40000,17000000,1,
1,2,2014,50000,10000000,1,
3,19,2013,20000,174900000,1,
2,16,2019,20000,13500000,1,
1,3,2019,5000,15397000,1,
2,17,2012,20000,7900000,1,
2,17,2012,20000,7900000,1,
2,7,2023,5000,31250000,1,
5,1,2024,5000,14850000,2,
4,1,2023,5000,5000000,2,
9,1,2023,5000,28999999,2,
9,1,2023,5000,9500000,2,
6,1,2022,10000,10400000,2,
13,1,2023,40000,3500000,2,
9,1,2023,5000,35000000,2,
4,1,2023,5000,8000000,2,
6,1,2022,10000,6650000,2,
5,1,2023,5000,10800000,2,
5,1,2023,5000,10800000,2,
5,1,2023,5000,6000000,2,
15,1,2022,5000,19000000,2,
5,1,2023,5000,15513000,2,
5,1,2023,5000,14500000,2,
4,1,2022,5000,8450000,2,
4,1,2023,5000,8000000,2,
4,1,2023,5000,13500000,2,
6,1,2023,10000,11500000,2,
19,1,2023,5000,20499000,2,
4,1,2022,5000,6500000,2,
6,1,2022,10000,10000000,2,
9,1,2024,5000,29490000,2,
17,1,2023,5000,3500000,2,
4,1,2023,10000,8500000,2,
5,1,2023,5000,9800000,2,
5,1,2023,5000,12000000,2,
4,1,2023,5000,8000000,2,
4,1,2023,10000,10000000,2,
15,1,2023,10000,20000000,2,
4,1,2023,75000,7000000,2,
10,1,2023,20000,8500000,2,
10,1,2023,5000,8800000,2,
4,1,2023,40000,9000000,2,
6,1,2022,10000,10300000,2,
4,1,2022,5000,9500000,2,
15,1,2022,5000,22000000,2,
9,1,2023,5000,3000000,2,
10,1,2023,10000,8650000,2,
13,1,2023,10000,9000000,2,
4,1,2022,5000,7500000,2,
4,1,2023,5000,5250000,2,
4,1,2023,5000,7300000,2,
13,1,2022,15000,700000,2,
13,1,2023,5000,9000000,2,
5,1,2023,5000,14500000,2,
11,1,2023,15000,10500000,2,
11,1,2021,10000,6000000,2,
10,1,2023,20000,7500000,2,
4,1,2023,5000,8000000,2,
4,1,2023,5000,6700000,2,
20,1,2022,45000,6000000,2,
4,1,2023,5000,7900000,2,
4,1,2023,5000,7000000,2,
4,1,2023,5000,7000000,2,
4,1,2023,5000,16000000,2,
5,1,2024,5000,15100000,2,
5,1,2024,5000,14850000,2,
6,1,2022,10000,10600000,2,
12,1,2022,15000,11000000,2,
12,1,2023,5000,12000000,2,
12,1,2023,5000,16000000,2,
4,1,2023,10000,8000000,2,
6,1,2023,5000,12500000,2,
6,1,2023,5000,14000000,2,
12,1,2024,5000,10399000,2,
5,1,2023,10000,500000,2,
9,1,2023,15000,25000000,2,
4,1,2022,10000,6800000,2,
4,1,2023,5000,10000000,2,
11,1,2023,5000,7500000,2,
9,1,2023,5000,9000000,2,
9,1,2023,5000,32000000,2,
6,1,2024,5000,5000000,2,
6,1,2023,10000,14000000,2,
8,1,2024,5000,24500000,2,
8,1,2023,5000,16900000,2,
8,1,2024,5000,9900000,2,
4,1,2023,5000,7500000,2,
4,1,2023,5000,6000000,2,
4,1,2024,5000,9100000,2,
5,1,2023,5000,14500000,2,
11,1,2023,5000,10000000,2,
5,1,2023,5000,14500000,2,
5,1,2023,5000,23000000,2,
4,1,2023,45000,4100000,2,
4,1,2022,5000,7000000,2,
6,1,2023,5000,11000000,2,
17,1,2023,45000,4900000,2,
4,1,2023,5000,9500000,2,
14,1,2021,25000,7500000,2,
4,1,2022,40000,7800000,2,
4,1,2023,5000,7500000,2,
4,1,2023,30000,8000000,2,
21,1,2023,45000,3300000,2,
4,1,2023,5000,10000000,2,
6,1,2023,5000,10000000,2,
6,1,2022,10000,20000000,2,
5,1,2023,5000,7000000,2,
